service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
100717,1,1,1,1,1,0,0,20170904,20171209
101385,1,1,1,1,1,1,1,20170904,20171209
101386,1,1,1,1,1,1,1,20170904,20171209
101387,1,1,1,1,1,1,1,20170904,20171209
101388,1,1,1,1,1,1,1,20170904,20171209
101574,1,1,1,1,1,1,1,20170904,20171209
101575,1,1,1,1,1,1,1,20170904,20171209
101576,1,1,1,1,1,1,1,20170904,20171209
101580,0,0,0,0,0,1,1,20170904,20171209
101581,1,1,1,1,1,1,1,20170904,20171209
102660,1,1,1,1,1,0,0,20170929,20171209
104184,1,1,1,1,1,1,1,20171028,20171209
104185,0,0,0,0,0,1,1,20171028,20171209
104186,1,1,1,1,1,1,1,20171028,20171209
104187,1,1,1,1,1,1,1,20171028,20171209
104188,1,1,1,1,1,1,1,20171028,20171209
104189,1,1,1,1,1,1,1,20171028,20171209
104190,1,1,1,1,1,1,1,20171028,20171209
104599,1,1,1,1,1,1,1,20171029,20171209
104600,1,1,1,1,1,1,1,20171029,20171209
104601,1,1,1,1,1,1,1,20171029,20171209
104602,1,1,1,1,1,1,1,20171029,20171209
104603,1,1,1,1,1,1,1,20171029,20171209
104604,1,1,1,1,1,1,1,20171029,20171209
104605,1,1,1,1,1,1,1,20171029,20171209
104606,1,1,1,1,1,1,1,20171029,20171209
104624,1,1,1,1,1,1,1,20171029,20171209
104625,1,1,1,1,1,1,1,20171029,20171209
104626,1,1,1,1,1,1,1,20171029,20171209
104627,1,1,1,1,1,1,1,20171029,20171209
104628,1,1,1,1,1,1,1,20171029,20171209
104629,1,1,1,1,1,1,1,20171029,20171209
104630,1,1,1,1,1,1,1,20171029,20171209
104631,1,1,1,1,1,1,1,20171029,20171209
104632,1,1,1,1,1,1,1,20171029,20171209
104633,1,1,1,1,1,1,1,20171029,20171209
104649,1,1,1,1,1,1,1,20171029,20171209
104650,1,1,1,1,1,1,1,20171029,20171209
104652,1,1,1,1,1,1,1,20171029,20171209
104653,1,1,1,1,1,0,0,20171029,20171209
104654,1,1,1,1,1,1,1,20171029,20171209
104655,1,1,1,1,1,1,1,20171029,20171209
104656,0,0,0,0,0,1,1,20171029,20171209
104657,1,1,1,1,1,1,1,20171029,20171209
104658,1,1,1,1,1,1,1,20171029,20171209
104659,1,1,1,1,1,1,1,20171029,20171209
104660,1,1,1,1,1,0,0,20171029,20171209
104661,0,0,0,0,0,1,1,20171029,20171209
104662,1,1,1,1,1,1,1,20171029,20171209
104663,1,1,1,1,1,1,1,20171029,20171209
104855,1,1,1,1,1,0,0,20171028,20171209
105291,1,1,1,1,1,1,1,20171108,20171209
105292,1,1,1,1,1,0,0,20171108,20171209
105293,1,1,1,1,1,1,1,20171108,20171209
105294,1,1,1,1,1,1,1,20171108,20171209
105295,1,1,1,1,1,1,1,20171108,20171209
105296,1,1,1,1,1,1,1,20171108,20171209
105297,1,1,1,1,1,1,1,20171108,20171209
105298,1,1,1,1,1,1,1,20171108,20171209
105299,1,1,1,1,1,1,1,20171108,20171209
105300,1,1,1,1,1,0,0,20171108,20171209
105301,1,1,1,1,1,1,1,20171108,20171209
105302,1,1,1,1,1,0,0,20171108,20171209
105303,1,1,1,1,1,1,1,20171108,20171209
105304,1,1,1,1,1,1,1,20171108,20171209
105305,1,1,1,1,1,1,1,20171108,20171209
105306,1,1,1,1,1,1,1,20171108,20171209
105307,1,1,1,1,1,1,1,20171108,20171209
105308,1,1,1,1,1,1,1,20171108,20171209
105309,1,1,1,1,1,1,1,20171108,20171209
105310,1,1,1,1,1,1,1,20171108,20171209
105311,1,1,1,1,1,1,1,20171108,20171209
105312,1,1,1,1,1,0,0,20171108,20171209
105313,1,1,1,1,1,1,1,20171108,20171209
105314,1,1,1,1,1,1,1,20171108,20171209
105315,0,0,0,0,0,1,1,20171108,20171209
105316,1,1,1,1,1,1,1,20171108,20171209
105317,1,1,1,1,1,1,1,20171108,20171209
105318,0,0,0,0,0,1,1,20171108,20171209
105319,1,1,1,1,1,1,1,20171108,20171209
105320,1,1,1,1,1,1,1,20171108,20171209
105333,1,1,1,1,1,1,1,20171108,20171209
