service_id,date,exception_type
106306,20171225,2
106306,20171226,2
106306,20180101,2
106336,20171225,2
106336,20171226,2
106336,20180101,2
106340,20171225,1
106340,20171226,1
106340,20180101,1
106346,20171225,2
106346,20171226,2
106346,20180101,2
106351,20171225,1
106351,20171226,1
106351,20180101,1
106368,20171225,1
106368,20171226,1
106368,20180101,1
106372,20171225,2
106372,20171226,2
106372,20180101,2
106375,20171225,1
106375,20171226,1
106375,20180101,1
106378,20171225,1
106378,20171226,1
106378,20180101,1
106381,20171225,2
106381,20171226,2
106381,20180101,2
106391,20171225,2
106391,20171226,2
106391,20180101,2
106393,20171225,2
106393,20171226,2
106393,20180101,2
106401,20171225,2
106401,20171226,2
106401,20180101,2
106480,20171225,1
106480,20171226,1
106480,20180101,1
106502,20171225,1
106502,20171226,1
106502,20180101,1
106557,20171225,2
106557,20171226,2
106557,20180101,2
106562,20171225,2
106562,20171226,2
106562,20180101,2
106575,20171225,1
106575,20171226,1
106575,20180101,1
106576,20171225,1
106576,20171226,1
106576,20180101,1
106578,20171225,1
106578,20171226,1
106578,20180101,1
106584,20171225,2
106584,20171226,2
106584,20180101,2
106589,20171225,2
106589,20171226,2
106589,20180101,2
106590,20171225,2
106590,20171226,2
106590,20180101,2
106591,20171225,2
106591,20171226,2
106591,20180101,2
106592,20171225,2
106592,20171226,2
106592,20180101,2
106593,20171225,2
106593,20171226,2
106593,20180101,2
106594,20171225,2
106594,20171226,2
106594,20180101,2
106595,20171225,2
106595,20171226,2
106595,20180101,2
106596,20171225,2
106596,20171226,2
106596,20180101,2
106597,20171225,2
106597,20171226,2
106597,20180101,2
106598,20171225,2
106598,20171226,2
106598,20180101,2
106599,20171225,2
106599,20171226,2
106599,20180101,2
106602,20171225,2
106602,20171226,2
106602,20180101,2
106603,20171225,2
106603,20171226,2
106603,20180101,2
106604,20171225,2
106604,20171226,2
106604,20180101,2
106614,20171225,2
106614,20171226,2
106614,20180101,2
106616,20171225,2
106616,20171226,2
106616,20180101,2
106618,20171225,2
106618,20171226,2
106618,20180101,2
106623,20171225,2
106623,20171226,2
106623,20180101,2
106628,20171225,1
106628,20171226,1
106628,20180101,1
106633,20171225,1
106633,20171226,1
106633,20180101,1
106638,20171225,2
106638,20171226,2
106638,20180101,2
106639,20171225,2
106639,20171226,2
106639,20180101,2
106642,20171225,2
106642,20171226,2
106642,20180101,2
106647,20171225,2
106647,20171226,2
106647,20180101,2
106652,20171225,1
106652,20171226,1
106652,20180101,1
106653,20171225,2
106653,20171226,2
106653,20180101,2
106656,20171225,2
106656,20171226,2
106656,20180101,2
106659,20171225,1
106659,20171226,1
106659,20180101,1
106661,20171225,2
106661,20171226,2
106661,20180101,2
106662,20171225,1
106662,20171226,1
106662,20180101,1
106663,20171225,1
106663,20171226,1
106663,20180101,1
106666,20171225,2
106666,20171226,2
106666,20180101,2
