fare_id,price,currency_type,payment_method,transfers,agency_id
476,1.9,EUR,0,0,82
477,2.5,EUR,0,0,82
478,2.4,EUR,0,0,82
479,1.2,EUR,0,0,82
480,2.0,EUR,0,0,82
481,4.0,EUR,0,0,82
482,3.2,EUR,0,0,82
483,3.1,EUR,0,0,82
484,4.3,EUR,0,0,82
485,4.9,EUR,0,0,82
486,1.7,EUR,0,0,82
487,5.5,EUR,0,0,82
488,1.3,EUR,0,0,82
489,3.0,EUR,0,0,82
490,0.9,EUR,0,0,82
491,3.7,EUR,0,0,82
492,4.1,EUR,0,0,82
493,3.6,EUR,0,0,82
506,3.8,EUR,0,0,82
507,5.6,EUR,0,0,82
508,5.7,EUR,0,0,82
509,2.9,EUR,0,0,82
510,1.4,EUR,0,0,82
511,2.7,EUR,0,0,82
512,4.5,EUR,0,0,82
513,7.4,EUR,0,0,82
514,4.2,EUR,0,0,82
515,6.7,EUR,0,0,82
516,5.0,EUR,0,0,82
517,6.2,EUR,0,0,82
518,2.2,EUR,0,0,82
519,7.8,EUR,0,0,82
520,2.8,EUR,0,0,82
521,5.4,EUR,0,0,82
522,10.4,EUR,0,0,82
523,1.0,EUR,0,0,82
524,7.7,EUR,0,0,82
525,6.8,EUR,0,0,82
526,3.3,EUR,0,0,82
527,9.3,EUR,0,0,82
528,5.2,EUR,0,0,82
529,2.1,EUR,0,0,82
530,8.6,EUR,0,0,82
531,9.7,EUR,0,0,82
532,4.7,EUR,0,0,82
533,1.6,EUR,0,0,82
534,1.1,EUR,0,0,82
535,4.4,EUR,0,0,82
536,4.8,EUR,0,0,82
537,5.9,EUR,0,0,82
538,5.8,EUR,0,0,82
539,1.8,EUR,0,0,82
540,3.4,EUR,0,0,82
541,3.5,EUR,0,0,82
542,11.4,EUR,0,0,82
543,9.1,EUR,0,0,82
544,5.1,EUR,0,0,82
545,6.1,EUR,0,0,82
546,8.5,EUR,0,0,82
547,8.0,EUR,0,0,82
548,6.4,EUR,0,0,82
549,2.6,EUR,0,0,82
677,11.5,EUR,0,0,82
678,10.2,EUR,0,0,82
679,7.3,EUR,0,0,82
680,6.5,EUR,0,0,82
681,3.9,EUR,0,0,82
682,8.4,EUR,0,0,82
691,7.9,EUR,0,0,82
692,5.3,EUR,0,0,82
693,7.0,EUR,0,0,82
694,7.6,EUR,0,0,82
695,6.3,EUR,0,0,82
696,4.6,EUR,0,0,82
792,10.5,EUR,0,0,82
802,2.3,EUR,0,0,82
803,1.5,EUR,0,0,82
806,8.3,EUR,0,0,82
807,7.1,EUR,0,0,82
808,8.9,EUR,0,0,82
809,6.6,EUR,0,0,82
