trip_id,route_id,service_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
584293,08d72e3a86de91b7171248fdc8586bb0,100717,Tallinn,Viljandi - Tallinn (kiirrong),B>A,22256,0
591598,f5c83750b921bd3a1e40d1f9772d8de7,101385,Tallinn,Pärnu - Tallinn (kiirrong),B>C1>A,26604,0
591601,f5c83750b921bd3a1e40d1f9772d8de7,101388,Tallinn,Pärnu - Tallinn (kiirrong),B>C1>A,26604,0
591599,f5c83750b921bd3a1e40d1f9772d8de7,101386,Pärnu,Tallinn - Pärnu (kiirrong),A>C1>B,26603,0
591600,f5c83750b921bd3a1e40d1f9772d8de7,101387,Pärnu,Tallinn - Pärnu (kiirrong),A>C1>B,26603,0
592686,08d72e3a86de91b7171248fdc8586bb0,101574,Viljandi,Tallinn - Viljandi (kiirrong),A>B,15553,0
592688,08d72e3a86de91b7171248fdc8586bb0,101576,Viljandi,Tallinn - Viljandi (kiirrong),A>B,15553,0
592687,08d72e3a86de91b7171248fdc8586bb0,101575,Tallinn,Viljandi - Tallinn (kiirrong),B>A,15554,0
592689,08d72e3a86de91b7171248fdc8586bb0,101580,Tallinn,Viljandi - Tallinn (kiirrong),B>A,15554,0
592690,08d72e3a86de91b7171248fdc8586bb0,101581,Tallinn,Viljandi - Tallinn (kiirrong),B>A,15554,0
604299,f3781b2b75907a7b99cfe1518ee5a706,102660,Tartu,Jõgeva - Tartu,A>B,15543,0
613160,4223e2abb45c3505a771a60d74a74222,104185,Tallinn,Kloogaranna - Tallinn,B>A,21627,0
613161,4223e2abb45c3505a771a60d74a74222,104186,Tallinn,Kloogaranna - Tallinn,B>A,21627,0
613163,4223e2abb45c3505a771a60d74a74222,104188,Tallinn,Kloogaranna - Tallinn,B>A,21627,0
613164,4223e2abb45c3505a771a60d74a74222,104189,Tallinn,Kloogaranna - Tallinn,B>A,21627,0
619222,4223e2abb45c3505a771a60d74a74222,104855,Tallinn,Kloogaranna - Tallinn,B>A,21627,0
613159,4223e2abb45c3505a771a60d74a74222,104184,Kloogaranna,Tallinn - Kloogaranna,A>B,21626,0
613162,4223e2abb45c3505a771a60d74a74222,104187,Kloogaranna,Tallinn - Kloogaranna,A>B,21626,0
613165,4223e2abb45c3505a771a60d74a74222,104190,Kloogaranna,Tallinn - Kloogaranna,A>B,21626,0
618450,c8a7e9a21b8c53d7770223de2c6a2f92,104599,Tartu,Tallinn - Tartu,A>B,15293,0
618451,c8a7e9a21b8c53d7770223de2c6a2f92,104600,Tartu,Tallinn - Tartu,A>B,15293,0
618456,c8a7e9a21b8c53d7770223de2c6a2f92,104605,Tartu,Tallinn - Tartu,A>B,15293,0
618457,c8a7e9a21b8c53d7770223de2c6a2f92,104606,Tartu,Tallinn - Tartu,A>B,15293,0
618452,c8a7e9a21b8c53d7770223de2c6a2f92,104601,Tallinn,Tartu - Tallinn,B>A,14449,0
618453,c8a7e9a21b8c53d7770223de2c6a2f92,104602,Tallinn,Tartu - Tallinn,B>A,14449,0
618454,c8a7e9a21b8c53d7770223de2c6a2f92,104603,Tallinn,Tartu - Tallinn,B>A,14449,0
618455,c8a7e9a21b8c53d7770223de2c6a2f92,104604,Tallinn,Tartu - Tallinn,B>A,14449,0
618611,c8a7e9a21b8c53d7770223de2c6a2f92,104624,Tartu,Tallinn - Tartu (ekspress),A>B,23537,0
618612,c8a7e9a21b8c53d7770223de2c6a2f92,104625,Tartu,Tallinn - Tartu (ekspress),A>B,23537,0
618613,c8a7e9a21b8c53d7770223de2c6a2f92,104626,Tartu,Tallinn - Tartu (ekspress),A>B,23537,0
618614,c8a7e9a21b8c53d7770223de2c6a2f92,104627,Tartu,Tallinn - Tartu (ekspress),A>B,23537,0
618616,c8a7e9a21b8c53d7770223de2c6a2f92,104629,Tartu,Tallinn - Tartu (ekspress),A>B,23537,0
618615,c8a7e9a21b8c53d7770223de2c6a2f92,104628,Tallinn,Tartu - Tallinn (ekspress),B>A,23538,0
618617,c8a7e9a21b8c53d7770223de2c6a2f92,104630,Tallinn,Tartu - Tallinn (ekspress),B>A,23538,0
618618,c8a7e9a21b8c53d7770223de2c6a2f92,104631,Tallinn,Tartu - Tallinn (ekspress),B>A,23538,0
618619,c8a7e9a21b8c53d7770223de2c6a2f92,104632,Tallinn,Tartu - Tallinn (ekspress),B>A,23538,0
618620,c8a7e9a21b8c53d7770223de2c6a2f92,104633,Tallinn,Tartu - Tallinn (ekspress),B>A,23538,0
618773,ba5c756aa70db73ae0205953e17071fe,104649,Rakvere,Tallinn - Rakvere,A>B,18514,0
618774,ba5c756aa70db73ae0205953e17071fe,104650,Tallinn,Rakvere- Tallinn,B>A,18515,0
618776,877cd6ad87097769c9ee5dbc1e713a9c,104653,Tartu,Valga - Tartu,B>A,15538,0
618778,877cd6ad87097769c9ee5dbc1e713a9c,104655,Tartu,Valga - Tartu,B>A,15538,0
618779,877cd6ad87097769c9ee5dbc1e713a9c,104656,Tartu,Valga - Tartu,B>A,15538,0
618781,877cd6ad87097769c9ee5dbc1e713a9c,104658,Tartu,Valga - Tartu,B>A,15538,0
618775,877cd6ad87097769c9ee5dbc1e713a9c,104652,Valga,Tartu - Valga,A>B,15537,0
618777,877cd6ad87097769c9ee5dbc1e713a9c,104654,Valga,Tartu - Valga,A>B,15537,0
618780,877cd6ad87097769c9ee5dbc1e713a9c,104657,Valga,Tartu - Valga,A>B,15537,0
618783,9717380dfa2fb6c0a3b7affa000d254b,104660,Tartu,Koidula - Tartu,B>A,15541,0
618784,9717380dfa2fb6c0a3b7affa000d254b,104661,Tartu,Koidula - Tartu,B>A,15541,0
618785,9717380dfa2fb6c0a3b7affa000d254b,104662,Tartu,Koidula - Tartu,B>A,15541,0
618782,9717380dfa2fb6c0a3b7affa000d254b,104659,Koidula,Tartu - Koidula,A>B,15539,0
618786,9717380dfa2fb6c0a3b7affa000d254b,104663,Koidula,Tartu - Koidula,A>B,15539,0
620838,95c5fa8689299d61de3802efc47c96ce,105291,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620839,95c5fa8689299d61de3802efc47c96ce,105292,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620850,95c5fa8689299d61de3802efc47c96ce,105303,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620852,95c5fa8689299d61de3802efc47c96ce,105305,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620853,95c5fa8689299d61de3802efc47c96ce,105306,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620854,95c5fa8689299d61de3802efc47c96ce,105307,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620855,95c5fa8689299d61de3802efc47c96ce,105308,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620856,95c5fa8689299d61de3802efc47c96ce,105309,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620857,95c5fa8689299d61de3802efc47c96ce,105310,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620858,95c5fa8689299d61de3802efc47c96ce,105311,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
620859,95c5fa8689299d61de3802efc47c96ce,105312,Aegviidu,Tallinn - Aegviidu,A>B,14885,0
